unified_time_s,time_source,frame_id,latitude_deg,longitude_deg,altitude_m,status_code,service_code,cov_xx,cov_xy,cov_xz,cov_yx,cov_yy,cov_yz,cov_zx,cov_zy,cov_zz,covariance_type,x_local_m,y_local_m,z_local_m
1752754321.999624,header,sensor_box/imu_link,45.428434599999996,90.1849354,10807.424,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064029321576.842,2,-148673.21917850344,-112941.74973260441,-378.54899999999907
1752754322.249624,header,sensor_box/imu_link,45.429636099999996,90.18635599999999,10807.873,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064027401472.508,2,-148564.24841354758,-112807.9993644164,-378.10000000000036
1752754322.499624,header,sensor_box/imu_link,45.4308376,90.1877767,10808.321,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064027401472.508,2,-148455.26997783355,-112674.24899622769,-377.65200000000004
1752754322.749624,header,sensor_box/imu_link,45.432038999999996,90.1891974,10808.769,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064029321576.842,2,-148346.2915421215,-112540.50975998923,-377.2039999999997
1752754322.999624,header,sensor_box/imu_link,45.6878406,90.650931,10904.239,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064029321576.842,2,-112927.83201929014,-84064.8059038836,-281.7340000000004
1752754323.249624,header,sensor_box/imu_link,45.6890304,90.65237289999999,10904.683,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064027401472.508,2,-112817.22738322799,-83932.35797373822,-281.28999999999905
1752754323.499624,header,sensor_box/imu_link,45.4356428,90.19346039999999,10810.114,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064029321576.842,2,-148019.2871981756,-112139.3365790678,-375.8590000000004
1752754323.749624,header,sensor_box/imu_link,45.436844,90.1948816,10810.563,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064029321576.842,2,-147910.27040868055,-112005.61960672704,-375.40999999999985
1752754323.9996243,header,sensor_box/imu_link,45.9156048,91.06631449999999,10989.233,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064029321576.842,2,-81064.77574354694,-58710.21113894686,-196.73999999999978
1752754324.2496243,header,sensor_box/imu_link,45.916784199999995,91.0677755,10989.674,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064029321576.842,2,-80952.70599301787,-58578.92093150562,-196.29899999999907
1752754324.4996243,header,sensor_box/imu_link,45.9179636,91.0692366,10990.114,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064031241681.307,2,-80840.62857173164,-58447.63072406368,-195.85900000000038
1752754324.7496243,header,sensor_box/imu_link,45.919143,91.07069779999999,10990.554,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064029321576.842,2,-80728.54347969113,-58316.340516621734,-195.41899999999987
1752754324.9996243,header,sensor_box/imu_link,45.4428491,90.20198909999999,10812.804,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064031241681.307,2,-147365.07139986233,-111337.13493256483,-373.16899999999987
1752754325.2496243,header,sensor_box/imu_link,45.44405,90.2034109,10813.252,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064033161785.902,2,-147256.0085858291,-111203.45135607057,-372.72099999999955
1752754325.4996243,header,sensor_box/imu_link,45.4452508,90.20483279999999,10813.7,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064031241681.307,2,-147146.93810103968,-111069.77891152658,-372.27299999999923
1752754325.7496243,header,sensor_box/imu_link,45.7009263,90.66679789999999,10909.122,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064033161785.902,2,-111710.72077721765,-82608.11244321067,-276.85100000000057
1752754325.9996245,header,sensor_box/imu_link,45.7021156,90.668241,10909.566,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064033161785.902,2,-111600.02409207812,-82475.7201728102,-276.40699999999924
1752754326.2496245,header,sensor_box/imu_link,45.7033049,90.66968419999999,10910.01,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064033161785.902,2,-111489.31973618339,-82343.32790240971,-275.96299999999974
1752754326.4996245,header,sensor_box/imu_link,45.927397,91.080929,10993.634,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064033161785.902,2,-79943.73305421934,-57397.50943961434,-192.33899999999994
1752754326.7496245,header,sensor_box/imu_link,45.9285759,91.082391,10994.073,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064035081890.629,2,-79831.58659612726,-57266.27489191801,-191.89999999999964
1752754326.9996245,header,sensor_box/imu_link,45.9297547,91.0838532,10994.513,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064035081890.629,2,-79719.42479652181,-57135.05147617123,-191.45999999999913
1752754327.2496245,header,sensor_box/imu_link,45.930933599999996,91.0853154,10994.953,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064035081890.629,2,-79607.26299691637,-57003.8169284749,-191.02000000000044
1752754327.4996245,header,sensor_box/imu_link,45.9321123,91.0867777,10995.393,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064035081890.629,2,-79495.0935265547,-56872.60464467697,-190.57999999999993
1752754327.7496245,header,sensor_box/imu_link,45.710439099999995,90.67834549999999,10912.673,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064035081890.629,2,-110824.93251492585,-81549.15239119252,-273.2999999999993
1752754327.9996247,header,sensor_box/imu_link,45.711628,90.67978939999999,10913.116,-1,0,18446744065119.617,0.0,0.0,0.0,18446744065119.617,0.0,0.0,0.0,14064037001995.488,2,-110714.17446373575,-81416.8046485881,-272.85699999999997
