topic,unified_time_s,time_source,frame_id,height,width,estimated_point_count,field_count,field_names,is_bigendian,point_step,row_step,is_dense,data_length_bytes
/off_highway_premium_radar_sample_driver/locations,1752754303.156882,header,base_link,1,368,368,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,29440,True,29440
/off_highway_premium_radar_sample_driver/locations,1752754303.227186,header,base_link,1,417,417,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,33360,True,33360
/off_highway_premium_radar_sample_driver/locations,1752754303.297665,header,base_link,1,379,379,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,30320,True,30320
/off_highway_premium_radar_sample_driver/locations,1752754303.357328,header,base_link,1,447,447,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,35760,True,35760
/off_highway_premium_radar_sample_driver/locations,1752754303.42696,header,base_link,1,386,386,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,30880,True,30880
/off_highway_premium_radar_sample_driver/locations,1752754303.487113,header,base_link,1,416,416,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,33280,True,33280
/off_highway_premium_radar_sample_driver/locations,1752754303.556654,header,base_link,1,338,338,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,27040,True,27040
/off_highway_premium_radar_sample_driver/locations,1752754303.617052,header,base_link,1,402,402,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,32160,True,32160
/off_highway_premium_radar_sample_driver/locations,1752754303.6868,header,base_link,1,361,361,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,28880,True,28880
/off_highway_premium_radar_sample_driver/locations,1752754303.757087,header,base_link,1,391,391,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,31280,True,31280
/off_highway_premium_radar_sample_driver/locations,1752754303.816657,header,base_link,1,337,337,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,26960,True,26960
/off_highway_premium_radar_sample_driver/locations,1752754303.88735,header,base_link,1,433,433,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,34640,True,34640
/off_highway_premium_radar_sample_driver/locations,1752754303.947286,header,base_link,1,379,379,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,30320,True,30320
/off_highway_premium_radar_sample_driver/locations,1752754304.017183,header,base_link,1,421,421,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,33680,True,33680
/off_highway_premium_radar_sample_driver/locations,1752754304.087024,header,base_link,1,366,366,19,"x,y,z,radial_distance,radial_velocity,azimuth_angle,elevation_angle,radar_cross_section,signal_noise_ratio,radial_distance_variance,radial_velocity_variance,azimuth_angle_variance,elevation_angle_variance,radial_distance_velocity_covariance,velocity_resolution_processing_probability,azimuth_angle_probability,elevation_angle_probability,measurement_status,idx_azimuth_ambiguity_peer",False,80,29280,True,29280
