topic,unified_time_s,time_source,frame_id,format,data_length_bytes
/zed2i/zed_node/left/image_rect_color/compressed,1752754304.494582,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165719
/zed2i/zed_node/right/image_rect_color/compressed,1752754304.494582,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166326
/zed2i/zed_node/left/image_rect_color/compressed,1752754304.561399,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165751
/zed2i/zed_node/right/image_rect_color/compressed,1752754304.561399,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166137
/zed2i/zed_node/left/image_rect_color/compressed,1752754304.6280189,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165734
/zed2i/zed_node/right/image_rect_color/compressed,1752754304.6280189,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166144
/zed2i/zed_node/left/image_rect_color/compressed,1752754304.694609,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165532
/zed2i/zed_node/right/image_rect_color/compressed,1752754304.694609,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166185
/zed2i/zed_node/left/image_rect_color/compressed,1752754304.761147,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165889
/zed2i/zed_node/right/image_rect_color/compressed,1752754304.761147,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166091
/zed2i/zed_node/left/image_rect_color/compressed,1752754304.828055,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165661
/zed2i/zed_node/right/image_rect_color/compressed,1752754304.828055,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166016
/zed2i/zed_node/left/image_rect_color/compressed,1752754304.894635,header,zed2i_left_camera_optical_frame,bgra8; jpeg compressed bgr8,165606
/zed2i/zed_node/right/image_rect_color/compressed,1752754304.894635,header,zed2i_right_camera_optical_frame,bgra8; jpeg compressed bgr8,166045
